City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hermanus,-34.4187,19.2345,14.89,72,100,8.05,ZA,1712352087
83,nadi,-17.8,177.4167,28.0,69,20,4.12,FJ,1712352254
84,abqaiq,25.9371,49.6776,25.22,28,0,2.17,SA,1712352254
85,tindouf,27.6711,-8.1474,27.25,11,0,2.57,DZ,1712352254
86,vadso,70.0744,29.7487,-4.91,50,0,8.23,NO,1712352094
87,kapuskasing,49.4169,-82.4331,7.05,49,75,7.72,CA,1712352255
88,bubaque,11.2833,-15.8333,24.32,85,27,6.15,GW,1712352255
89,myskhako,44.6714,37.7433,10.33,68,51,1.23,RU,1712352256
90,neryungri,56.6709,124.6491,-12.38,89,100,5.63,RU,1712352256
91,sarh,9.1429,18.3923,27.08,65,91,4.28,TD,1712352256
92,qaqortoq,60.7167,-46.0333,-1.24,70,4,2.07,GL,1712352257
93,santa cruz,-17.8,-63.1667,33.03,55,40,4.63,BO,1712352234
94,happy valley-goose bay,53.3168,-60.3315,2.17,69,75,6.69,CA,1712352125
95,carnarvon,-24.8667,113.6333,24.14,65,0,6.9,AU,1712352258
96,atafu village,-8.5421,-172.5159,28.96,70,98,0.87,TK,1712352196
97,aasiaat,68.7098,-52.8699,-8.8,95,77,4.45,GL,1712352258
98,acapulco de juarez,16.8634,-99.8901,27.9,69,0,6.69,MX,1712351981
99,udachny,66.4167,112.4,-21.91,86,100,6.79,RU,1712352092
100,cabedelo,-6.9811,-34.8339,28.37,79,20,5.41,BR,1712352259
101,stiens,53.2623,5.7577,12.77,79,100,5.66,NL,1712352260
102,tazovsky,67.4667,78.7,-11.36,92,100,8.63,RU,1712352260
103,aoulef,26.9667,1.0833,28.51,13,0,2.22,DZ,1712352260
104,arkhara,49.4212,130.0842,7.65,44,100,3.13,RU,1712352261
105,itaituba,-4.2761,-55.9836,28.09,89,75,0.0,BR,1712352237
106,farshut,26.0549,32.1633,26.31,15,11,5.51,EG,1712352261
107,enewetak,11.3474,162.3373,26.94,78,74,9.01,MH,1712352077
108,ust-nera,64.5667,143.2,-18.42,97,51,1.46,RU,1712352262
109,haiku-pauwela,20.9219,-156.3051,26.79,65,40,8.75,US,1712352105
110,minab,27.1467,57.0801,23.32,71,0,1.51,IR,1712352263
111,turmalina,-17.2856,-42.73,22.45,88,91,1.71,BR,1712352263
112,papao,-17.75,-149.55,30.82,78,99,3.63,PF,1712352263
113,kimberley,-28.7323,24.7623,22.13,34,47,1.18,ZA,1712352264
114,fort bragg,35.139,-79.006,17.91,31,40,6.17,US,1712352264
115,fale old settlement,-9.3852,-171.2468,29.12,73,99,2.78,TK,1712352264
116,sisimiut,66.9395,-53.6735,-4.8,77,48,3.38,GL,1712352265
117,orkney,-26.9802,26.6727,20.14,59,66,2.27,ZA,1712352265
118,berdigestyakh,62.0989,126.6992,-25.17,100,99,1.54,RU,1712352265
119,grand island,40.925,-98.342,19.55,23,0,10.8,US,1712352045
120,olonkinbyen,70.9221,-8.7187,-6.78,66,100,6.92,SJ,1712352095
121,chernyshevskiy,63.0128,112.4714,-23.64,95,73,3.64,RU,1712352266
122,dryden,49.7833,-92.7503,9.16,37,0,3.09,CA,1712352250
123,yuzhno-kurilsk,44.0306,145.8556,0.76,91,100,3.8,RU,1712352267
124,antsiranana,-12.2787,49.2917,26.35,84,50,5.21,MG,1712352267
125,gizo,-8.103,156.8419,28.48,79,100,2.57,SB,1712352268
126,port lincoln,-34.7333,135.8667,13.24,83,3,2.27,AU,1712352268
127,morrilton,35.1509,-92.744,22.12,33,6,1.17,US,1712352268
128,tura,25.5198,90.2201,22.82,90,7,3.38,IN,1712352087
129,bilibino,68.0546,166.4372,-17.89,92,40,0.89,RU,1712352269
130,college,64.8569,-147.8028,3.04,77,100,0.0,US,1712352118
131,harlingen,26.1906,-97.6961,29.05,39,0,11.32,US,1712352270
132,utrik,11.2278,169.8474,26.93,77,98,8.91,MH,1712352270
133,papatowai,-46.5619,169.4708,11.83,82,62,4.55,NZ,1712352270
134,nytva,57.9404,55.334,-3.06,76,48,4.75,RU,1712352271
135,west island,-12.1568,96.8225,26.99,89,40,3.6,CC,1712352271
136,coyhaique,-45.5752,-72.0662,12.97,62,75,3.09,CL,1712352187
137,keflavik,64.0049,-22.5624,0.24,74,75,3.6,IS,1712352272
