City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ushuaia,-54.8,-68.3,4.81,65,75,10.8,AR,1712702013
83,severo-yeniseyskiy,60.3725,93.0408,0.88,91,100,3.13,RU,1712701737
84,mo i rana,66.3128,14.1428,2.26,80,81,1.54,NO,1712702013
85,badger,64.8,-147.5333,3.14,52,75,1.54,US,1712701738
86,phayakkhaphum phisai,15.5163,103.1937,28.56,68,69,2.66,TH,1712702014
87,port elizabeth,-33.918,25.5701,17.83,96,36,4.02,ZA,1712702014
88,ust-nera,64.5667,143.2,-9.78,92,77,2.09,RU,1712702015
89,mahina,-17.5065,-149.489,27.87,78,75,5.66,PF,1712701984
90,margate,51.3813,1.3862,8.72,66,6,2.24,GB,1712701739
91,hawaiian paradise park,19.5933,-154.9731,25.49,76,100,2.06,US,1712701740
92,thompson,55.7435,-97.8558,14.09,24,40,1.03,CA,1712702016
93,zaozersk,69.4005,32.4476,-3.19,94,100,2.83,RU,1712701921
94,shakawe,-18.3667,21.85,20.23,88,81,2.02,BW,1712701741
95,san antonio de pale,-1.4014,5.6325,27.86,77,35,3.5,GQ,1712701741
96,kristiansund,63.1115,7.732,8.36,81,100,1.54,NO,1712701741
97,talnakh,69.4865,88.3972,-25.04,98,99,4.76,RU,1712701742
98,anna regina,7.2644,-58.5077,26.54,74,38,3.76,GY,1712702019
99,maslyanino,54.3436,84.2111,3.4,98,100,4.06,RU,1712702019
100,codrington,-38.2667,141.9667,13.83,81,73,3.11,AU,1712701743
101,lufilufi,-13.8745,-171.5986,31.88,78,97,5.05,WS,1712702020
102,lompoc,34.6391,-120.4579,26.08,61,0,6.69,US,1712702020
103,hamilton,39.1834,-84.5333,18.21,84,100,5.66,US,1712701838
104,baiao,-2.7906,-49.6717,24.68,97,100,0.4,BR,1712702022
105,cururupu,-1.8283,-44.8683,24.33,95,97,0.73,BR,1712702022
106,antsiranana,-12.2787,49.2917,25.92,84,79,5.38,MG,1712701745
107,bad wurzach,47.9,9.9,5.63,97,100,4.1,DE,1712701745
108,filadelfia,39.9523,-75.1638,26.04,37,75,5.14,US,1712701788
109,west island,-12.1568,96.8225,26.99,74,40,6.69,CC,1712702027
110,alexandria,31.2156,29.9553,16.3,69,0,3.3,EG,1712701926
111,klyuchi,52.2667,79.1667,5.59,94,100,2.61,RU,1712702028
112,trairi,-3.2778,-39.2689,25.34,93,80,2.44,BR,1712701748
113,ingeniero guillermo n. juarez,-23.9,-61.85,25.15,89,97,3.13,AR,1712702032
114,yellowknife,62.456,-114.3525,7.29,45,20,4.63,CA,1712702033
115,rosarito,32.3333,-117.0333,28.29,39,0,5.58,MX,1712701748
116,namibe,-15.1961,12.1522,21.99,72,38,2.72,AO,1712702034
117,tvoroyri,61.5556,-6.8111,6.57,64,21,9.05,FO,1712702035
118,acapulco de juarez,16.8634,-99.8901,27.9,74,0,6.69,MX,1712701970
119,blackmans bay,-43.0167,147.3167,14.74,75,55,0.45,AU,1712701749
120,fort bragg,35.139,-79.006,19.75,68,100,3.6,US,1712702036
121,north shore,-36.8,174.75,21.93,80,49,1.79,NZ,1712701790
122,east london,-33.0153,27.9116,17.91,89,100,12.34,ZA,1712701750
123,gostagayevskaya,45.0228,37.5051,11.84,62,0,1.0,RU,1712701751
124,tucurui,-3.7661,-49.6725,24.55,97,100,1.25,BR,1712701738
125,ribeira grande,38.5167,-28.7,17.65,94,75,11.18,PT,1712702037
126,isafjordur,66.0755,-23.124,-2.35,90,100,2.66,IS,1712702031
127,zinder,13.8072,8.9881,29.02,13,60,3.42,NE,1712702038
128,kiruna,67.8557,20.2251,-3.49,80,100,3.09,SE,1712702039
129,anadyr,64.75,177.4833,-4.72,85,75,10.0,RU,1712702040
130,cabo san lucas,22.8909,-109.9124,27.01,43,0,2.06,MX,1712701852
131,ixtapa,20.7,-105.2,24.57,69,75,5.14,MX,1712701754
132,isangel,-19.55,169.2667,29.06,84,40,2.06,VU,1712701826
133,alice springs,-23.7,133.8833,16.23,59,3,2.06,AU,1712701754
134,port lavaca,28.615,-96.6261,28.49,80,75,4.63,US,1712702050
135,odienne,9.51,-7.5692,27.11,65,100,1.21,CI,1712701755
136,campbellton,48.0075,-66.6727,5.25,63,47,2.18,CA,1712701754
137,flying fish cove,-10.4217,105.6791,24.82,88,40,1.54,CX,1712702052
138,vorgashor,67.5833,63.95,-30.11,100,58,1.44,RU,1712701783
139,benguela,-12.5763,13.4055,24.94,83,84,1.28,AO,1712702053
140,minas de marcona,-15.2119,-75.1103,19.07,74,71,6.55,PE,1712701757
141,longyearbyen,78.2186,15.6401,-10.09,92,75,0.51,SJ,1712701757
142,kirundo,-2.5833,30.1667,16.66,98,68,0.46,BI,1712701758
143,dzerzhinskoye,56.8344,95.2283,3.19,94,100,2.92,RU,1712701758
144,laojunmiao,39.8333,97.7333,6.91,19,0,3.3,CN,1712701758
145,amga,60.8953,131.9608,-8.02,99,99,0.35,RU,1712701759
146,gaigeturi,33.4644,126.3183,13.03,71,20,5.66,KR,1712701759
147,taoudenni,22.6783,-3.9836,30.91,14,0,2.74,ML,1712701967
148,rio grande,-32.035,-52.0986,25.06,90,42,4.28,BR,1712701889
149,massena,44.9281,-74.8919,21.51,27,0,4.63,US,1712701831
150,aasiaat,68.7098,-52.8699,-10.6,87,100,2.17,GL,1712702057
151,sittwe,20.15,92.9,26.08,46,0,2.93,MM,1712701762
152,hun,29.1268,15.9477,19.78,24,55,4.05,LY,1712701762
153,turrialba,9.9047,-83.6835,27.28,96,100,0.98,CR,1712701495
154,coquimbo,-29.9533,-71.3436,15.85,82,75,4.63,CL,1712701854
155,kuanda,56.3161,116.0806,-9.36,87,44,0.3,RU,1712701938
156,mugia,43.1041,-9.2179,10.51,65,98,1.15,ES,1712701776
157,tsiombe,-25.3,45.4833,23.12,94,91,2.37,MG,1712702060
158,katsuura,35.1333,140.3,10.08,54,75,8.79,JP,1712701764
159,port pirie,-33.1833,138.0167,11.82,70,9,1.9,AU,1712701765
160,pau brasil,-15.4642,-39.6511,22.74,98,60,1.16,BR,1712701765
161,conception bay south,47.4999,-52.9981,0.25,92,100,10.77,CA,1712701765
162,mar del plata,-38.0023,-57.5575,15.05,64,75,5.81,AR,1712701684
163,borcea,44.3333,27.75,13.27,57,25,1.94,RO,1712702065
164,labrador city,52.9463,-66.9114,-1.05,40,0,2.06,CA,1712701810
165,whitehorse,60.7161,-135.0538,5.43,38,75,6.17,CA,1712701767
166,santa ana,33.7456,-117.8678,29.95,18,0,5.66,US,1712701929
167,ampanihy,-24.7,44.75,22.85,88,90,2.56,MG,1712701767
168,lebu,-37.6167,-73.65,12.1,69,82,9.88,CL,1712701768
169,tazovsky,67.4667,78.7,-27.07,99,72,4.16,RU,1712701939
170,ancud,-41.8697,-73.8203,10.74,68,54,4.04,CL,1712701768
171,juan aldama,24.2908,-103.3944,24.3,5,19,14.81,MX,1712702071
172,aral,40.5156,81.2636,15.02,26,93,0.95,CN,1712702071
173,zalari,53.5584,102.5065,-0.19,79,47,3.5,RU,1712702072
174,iqaluit,63.7506,-68.5145,-4.15,73,100,2.06,CA,1712702072
175,diamantino,-14.4086,-56.4461,24.38,92,100,1.76,BR,1712702072
176,kharp,66.8014,65.8081,-26.83,95,44,2.39,RU,1712701997
177,molde,62.7375,7.1591,7.91,87,100,1.03,NO,1712702073
178,tolanaro,-25.0319,46.9987,26.04,89,20,5.14,MG,1712702073
179,tajao,10.3148,123.5835,27.03,79,85,4.48,PH,1712702075
180,cuyo,10.8525,121.0086,28.44,77,99,6.56,PH,1712702075
181,abong mbang,3.9833,13.1833,23.78,69,52,0.15,CM,1712702075
182,reggane,26.7158,0.1714,31.76,15,48,7.01,DZ,1712702076
183,hithadhoo,-0.6,73.0833,29.04,74,86,2.62,MV,1712702076
184,polgar,47.8667,21.1167,14.96,72,98,2.73,HU,1712702035
185,patterson,37.4716,-121.1297,25.42,43,1,2.6,US,1712701940
186,fortuna,40.5982,-124.1573,15.37,79,100,6.17,US,1712701922
